secs,date,time,t_adc,t_resistance,ext_temp_c,int_temp_c,pascals,meters,freefall,inactivity,activity,doubletap,tap,x,y,z,xG,yG,zG,mx,my,mz,heading
2,2012/6/9,22:18:16,524.00,10301.48,24.33,27.30,101361,23.49,0,1,0,0,0,14,31,241,0.05,0.12,0.94,-56.00,-380.00,-254.00,261.62
3,2012/6/9,22:18:17,524.00,10301.48,24.33,27.30,101363,23.57,0,0,0,0,0,14,32,241,0.05,0.12,0.94,-55.00,-378.00,-254.00,261.72
4,2012/6/9,22:18:18,523.00,10261.26,24.42,27.30,101361,23.66,0,0,0,0,0,14,31,239,0.05,0.12,0.93,-56.00,-379.00,-253.00,261.59
5,2012/6/9,22:18:19,523.00,10261.26,24.42,27.30,101366,23.66,0,0,0,0,0,14,32,240,0.05,0.12,0.94,-55.00,-377.00,-251.00,261.70
6,2012/6/9,22:18:20,524.00,10301.48,24.33,27.30,101364,24.33,0,0,0,0,0,13,32,241,0.05,0.12,0.94,-56.00,-377.00,-250.00,261.55
7,2012/6/9,22:18:21,524.00,10301.48,24.33,27.30,101360,24.49,0,0,0,0,0,14,32,240,0.05,0.12,0.94,-56.00,-378.00,-252.00,261.57
8,2012/6/9,22:18:22,523.00,10261.26,24.42,27.30,101367,24.33,0,0,0,0,0,13,34,239,0.05,0.13,0.93,-56.00,-379.00,-253.00,261.59
9,2012/6/9,22:18:23,523.00,10261.26,24.42,27.30,101364,24.16,0,0,0,0,0,14,32,240,0.05,0.12,0.94,-55.00,-380.00,-254.00,261.76
10,2012/6/9,22:18:24,523.00,10261.26,24.42,27.30,101370,24.08,0,0,0,0,0,14,31,241,0.05,0.12,0.94,-55.00,-379.00,-253.00,261.74
11,2012/6/9,22:18:25,524.00,10301.48,24.33,27.30,101366,23.83,0,0,0,0,0,14,33,241,0.05,0.13,0.94,-54.00,-376.00,-251.00,261.83
12,2012/6/9,22:18:26,523.00,10261.26,24.42,27.30,101363,23.66,0,0,0,0,0,13,33,240,0.05,0.13,0.94,-55.00,-376.00,-250.00,261.68
13,2012/6/9,22:18:27,524.00,10301.48,24.33,27.30,101363,23.41,0,1,0,0,0,13,32,241,0.05,0.12,0.94,-55.00,-378.00,-251.00,261.72
14,2012/6/9,22:18:28,523.00,10261.26,24.42,27.30,101370,23.41,0,0,0,0,0,14,32,241,0.05,0.12,0.94,-55.00,-380.00,-252.00,261.76
