secs,date,time,t_adc,t_resistance,ext_temp_c,int_temp_c,pascals,meters,freefall,inactivity,activity,doubletap,tap,x,y,z,xG,yG,zG,mx,my,mz,heading
2,2012/6/9,22:14:00,528.00,10464.00,23.98,27.50,101360,23.99,0,1,0,0,1,13,33,240,0.05,0.13,0.94,-23.00,-384.00,-257.00,266.57
3,2012/6/9,22:14:01,528.00,10464.00,23.98,27.50,101360,24.41,0,0,0,0,0,14,32,240,0.05,0.12,0.94,-23.00,-387.00,-258.00,266.60
4,2012/6/9,22:14:02,528.00,10464.00,23.98,27.50,101358,23.91,0,0,0,0,0,14,33,241,0.05,0.13,0.94,-23.00,-388.00,-259.00,266.61
5,2012/6/9,22:14:03,528.00,10464.00,23.98,27.50,101362,23.91,0,0,0,0,0,14,32,239,0.05,0.12,0.93,-23.00,-387.00,-259.00,266.60
6,2012/6/9,22:14:04,528.00,10464.00,23.98,27.50,101360,23.66,0,0,0,0,0,14,32,240,0.05,0.12,0.94,-23.00,-387.00,-259.00,266.60
7,2012/6/9,22:14:05,528.00,10464.00,23.98,27.50,101369,24.41,0,0,0,0,0,14,31,240,0.05,0.12,0.94,-23.00,-385.00,-257.00,266.58
8,2012/6/9,22:14:06,528.00,10464.00,23.98,27.40,101361,23.83,0,0,0,0,0,14,32,241,0.05,0.12,0.94,-23.00,-383.00,-257.00,266.56
9,2012/6/9,22:14:07,527.00,10423.13,24.07,27.50,101366,24.24,0,0,0,0,0,13,31,239,0.05,0.12,0.93,-24.00,-384.00,-256.00,266.42
10,2012/6/9,22:14:08,527.00,10423.13,24.07,27.40,101355,24.08,0,0,0,0,0,15,31,240,0.06,0.12,0.94,-24.00,-384.00,-256.00,266.42
11,2012/6/9,22:14:09,528.00,10464.00,23.98,27.50,101368,23.66,0,0,0,0,0,14,32,241,0.05,0.12,0.94,-24.00,-386.00,-257.00,266.44
