secs,date,time,t_adc,t_resistance,ext_temp_c,int_temp_c,pascals,meters,freefall,inactivity,activity,doubletap,tap,x,y,z,xG,yG,zG,mx,my,mz,heading
3,2012/6/9,22:56:37,496.00,9232.94,26.81,27.40,101410,23.15,0,0,0,0,0,25,72,234,0.10,0.28,0.91,957.00,-1387.00,1195.00,304.60
5,2012/6/9,22:56:39,496.00,9232.94,26.81,27.40,101406,23.90,0,0,0,0,0,25,72,231,0.10,0.28,0.90,960.00,-1388.00,1193.00,304.67
7,2012/6/9,22:56:41,496.00,9232.94,26.81,27.40,101409,23.32,0,1,0,0,0,25,72,233,0.10,0.28,0.91,958.00,-1386.00,1192.00,304.65
9,2012/6/9,22:56:43,496.00,9232.94,26.81,27.40,101404,23.82,0,0,0,0,0,26,72,233,0.10,0.28,0.91,955.00,-1386.00,1193.00,304.57
11,2012/6/9,22:56:45,496.00,9232.94,26.81,27.40,101401,24.48,0,0,0,0,0,26,73,233,0.10,0.28,0.91,957.00,-1386.00,1194.00,304.62
13,2012/6/9,22:56:47,496.00,9232.94,26.81,27.40,101401,24.15,0,0,0,0,0,25,72,232,0.10,0.28,0.90,958.00,-1386.00,1193.00,304.65
15,2012/6/9,22:56:49,496.00,9232.94,26.81,27.50,101407,23.65,0,0,0,0,0,25,73,232,0.10,0.28,0.90,960.00,-1386.00,1191.00,304.71
17,2012/6/9,22:56:51,496.00,9232.94,26.81,27.50,101404,23.40,0,1,0,0,0,25,73,233,0.10,0.28,0.91,958.00,-1386.00,1192.00,304.65
19,2012/6/9,22:56:53,496.00,9232.94,26.81,27.50,101403,23.57,0,0,0,0,0,26,73,234,0.10,0.28,0.91,955.00,-1385.00,1194.00,304.59
21,2012/6/9,22:56:55,496.00,9232.94,26.81,27.50,101409,23.73,0,0,0,0,0,26,72,231,0.10,0.28,0.90,956.00,-1385.00,1193.00,304.62
23,2012/6/9,22:56:57,496.00,9232.94,26.81,27.50,101400,23.98,0,0,0,0,0,24,71,232,0.09,0.28,0.90,956.00,-1386.00,1192.00,304.60
25,2012/6/9,22:56:59,495.00,9196.88,26.90,27.50,101404,24.15,0,0,0,0,0,25,73,234,0.10,0.28,0.91,956.00,-1386.00,1191.00,304.60
27,2012/6/9,22:57:01,495.00,9196.88,26.90,27.50,101407,23.15,0,1,0,0,0,26,71,233,0.10,0.28,0.91,956.00,-1384.00,1192.00,304.63
29,2012/6/9,22:57:03,495.00,9196.88,26.90,27.50,101394,24.24,0,0,0,0,0,25,74,235,0.10,0.29,0.92,960.00,-1385.00,1192.00,304.73
31,2012/6/9,22:57:05,495.00,9196.88,26.90,27.50,101405,24.24,0,0,0,0,0,25,71,232,0.10,0.28,0.90,956.00,-1385.00,1192.00,304.62
33,2012/6/9,22:57:07,495.00,9196.88,26.90,27.60,101406,24.07,0,0,0,0,0,24,72,234,0.09,0.28,0.91,955.00,-1384.00,1191.00,304.61
35,2012/6/9,22:57:09,495.00,9196.88,26.90,27.60,101408,23.48,0,0,0,0,0,24,72,233,0.09,0.28,0.91,954.00,-1384.00,1192.00,304.58
37,2012/6/9,22:57:11,496.00,9232.94,26.81,27.60,101406,23.73,0,0,0,0,0,25,74,233,0.10,0.29,0.91,955.00,-1385.00,1192.00,304.59
39,2012/6/9,22:57:13,496.00,9232.94,26.81,27.60,101399,23.40,0,1,0,0,0,26,72,233,0.10,0.28,0.91,955.00,-1385.00,1192.00,304.59
41,2012/6/9,22:57:15,496.00,9232.94,26.81,27.60,101409,24.07,0,0,0,0,0,25,72,233,0.10,0.28,0.91,958.00,-1384.00,1191.00,304.69
43,2012/6/9,22:57:17,496.00,9232.94,26.81,27.60,101405,23.73,0,0,0,0,0,25,72,232,0.10,0.28,0.90,955.00,-1384.00,1191.00,304.61
45,2012/6/9,22:57:19,496.00,9232.94,26.81,27.60,101405,23.23,0,0,0,0,0,25,72,233,0.10,0.28,0.91,955.00,-1384.00,1192.00,304.61
47,2012/6/9,22:57:21,496.00,9232.94,26.81,27.60,101407,23.07,0,0,0,0,0,26,73,235,0.10,0.28,0.92,958.00,-1385.00,1191.00,304.67
49,2012/6/9,22:57:23,496.00,9232.94,26.81,27.60,101407,23.73,0,1,0,0,0,25,72,232,0.10,0.28,0.90,956.00,-1386.00,1191.00,304.60
51,2012/6/9,22:57:25,496.00,9232.94,26.81,27.70,101406,23.65,0,0,0,0,0,25,73,232,0.10,0.28,0.90,957.00,-1384.00,1190.00,304.66
53,2012/6/9,22:57:27,496.00,9232.94,26.81,27.70,101399,23.65,0,0,0,0,0,24,73,231,0.09,0.28,0.90,957.00,-1384.00,1191.00,304.66
55,2012/6/9,22:57:29,496.00,9232.94,26.81,27.70,101398,23.23,0,0,0,0,0,7,139,233,0.03,0.54,0.91,963.00,-1405.00,1205.00,304.43
57,2012/6/9,22:57:31,495.00,9196.88,26.90,27.70,101404,24.07,0,0,0,0,0,261,-24,229,1.02,-0.09,0.89,1027.00,-1675.00,1296.00,301.51
59,2012/6/9,22:57:33,495.00,9196.88,26.90,27.70,101395,23.82,0,1,1,1,1,39,-38,226,0.15,-0.15,0.88,1096.00,-1743.00,1314.00,302.16
61,2012/6/9,22:57:35,495.00,9196.88,26.90,27.70,101402,23.40,0,0,0,0,0,33,61,234,0.13,0.24,0.91,1085.00,-1751.00,1296.00,301.78
63,2012/6/9,22:57:37,495.00,9196.88,26.90,27.70,101406,23.57,0,0,0,0,0,33,57,236,0.13,0.22,0.92,1085.00,-1748.00,1365.00,301.83
65,2012/6/9,22:57:39,494.00,9160.95,26.99,27.70,101403,23.65,0,0,0,0,0,32,60,237,0.12,0.23,0.92,1086.00,-1750.00,1364.00,301.82
67,2012/6/9,22:57:41,494.00,9160.95,26.99,27.70,101402,23.32,0,0,0,0,0,34,60,236,0.13,0.23,0.92,1084.00,-1751.00,1364.00,301.76
69,2012/6/9,22:57:43,494.00,9160.95,26.99,27.80,101401,24.24,0,0,0,0,0,30,61,234,0.12,0.24,0.91,1089.00,-1748.00,1364.00,301.92
71,2012/6/9,22:57:45,494.00,9160.95,26.99,27.80,101409,23.15,0,1,0,0,0,31,53,234,0.12,0.21,0.91,1085.00,-1749.00,1295.00,301.81
73,2012/6/9,22:57:47,494.00,9160.95,26.99,27.80,101407,23.23,0,0,0,0,0,33,57,237,0.13,0.22,0.92,1079.00,-1746.00,1295.00,301.72
75,2012/6/9,22:57:49,494.00,9160.95,26.99,27.80,101411,23.73,0,0,0,0,0,32,53,238,0.12,0.21,0.93,1085.00,-1742.00,1364.00,301.92
77,2012/6/9,22:57:51,494.00,9160.95,26.99,27.80,101410,22.98,0,0,0,0,0,33,54,235,0.13,0.21,0.92,1085.00,-1744.00,1363.00,301.89
