secs,date,time,t_adc,t_resistance,ext_temp_c,int_temp_c,pascals,meters,freefall,inactivity,activity,doubletap,tap,x,y,z,xG,yG,zG,mx,my,mz,heading
2,2012/6/9,9:06:05,509.00,9714.57,25.65,25.70,101316,23.42,0,0,0,0,0,9,33,238,0.04,0.13,0.93,75.00,-40.00,-200.00,331.93
3,2012/6/9,9:06:06,509.00,9714.57,25.65,25.70,101322,24.42,0,0,0,0,0,8,29,240,0.03,0.11,0.94,83.00,-44.00,-200.00,332.07
4,2012/6/9,9:06:07,509.00,9714.57,25.65,25.70,101320,23.92,0,0,0,0,0,10,31,240,0.04,0.12,0.94,88.00,-46.00,-201.00,332.40
5,2012/6/9,9:06:08,509.00,9714.57,25.65,25.70,101324,24.17,0,0,0,0,0,7,32,240,0.03,0.12,0.94,85.00,-44.00,-202.00,332.63
6,2012/6/9,9:06:09,509.00,9714.57,25.65,25.70,101325,23.67,0,0,0,0,0,6,32,241,0.02,0.12,0.94,76.00,-38.00,-202.00,333.43
