secs,date,time,t_adc,t_resistance,ext_temp_c,int_temp_c,pascals,meters,freefall,inactivity,activity,doubletap,tap,x,y,z,xG,yG,zG,mx,my,mz,heading
2,2012/6/9,9:06:18,509.00,9714.57,25.65,25.80,101318,24.01,0,1,0,0,0,8,31,241,0.03,0.12,0.94,87.00,-44.00,-202.00,333.17
3,2012/6/9,9:06:19,509.00,9714.57,25.65,25.80,101316,23.92,0,0,0,0,0,8,32,240,0.03,0.12,0.94,82.00,-42.00,-203.00,332.88
4,2012/6/9,9:06:20,509.00,9714.57,25.65,25.80,101318,24.01,0,0,0,0,0,8,32,240,0.03,0.12,0.94,73.00,-38.00,-202.00,332.50
5,2012/6/9,9:06:21,509.00,9714.57,25.65,25.80,101313,23.50,0,0,0,0,0,8,31,241,0.03,0.12,0.94,71.00,-37.00,-201.00,332.47
6,2012/6/9,9:06:22,509.00,9714.57,25.65,25.80,101316,22.59,0,0,0,0,0,8,32,240,0.03,0.12,0.94,76.00,-40.00,-200.00,332.24
