secs,date,time,t_adc,t_resistance,ext_temp_c,int_temp_c,pascals,meters,freefall,inactivity,activity,doubletap,tap,x,y,z,xG,yG,zG,mx,my,mz,heading
4,2012/6/10,14:06:56,674.00,18945.39,11.28,40.00,66559,36.00,0,1,0,0,0,-2,-28,234,-0.01,-0.11,0.91,10.00,-407.00,648.00,271.41
6,2012/6/10,14:06:58,672.00,18781.54,11.46,40.00,66512,41.84,0,0,0,0,0,0,-27,234,0.00,-0.11,0.91,-36.00,-454.00,640.00,265.47
8,2012/6/10,14:07:00,674.00,18945.39,11.28,40.00,66473,48.20,0,0,0,0,0,-2,-26,234,-0.01,-0.10,0.91,-131.00,-427.00,655.00,252.94
10,2012/6/10,14:07:02,677.00,19194.71,11.01,40.00,66429,53.92,0,0,0,0,0,-1,-27,229,-0.00,-0.11,0.89,-121.00,-329.00,670.00,249.81
12,2012/6/10,14:07:04,679.00,19363.34,10.84,39.90,66382,59.77,0,0,0,0,0,0,-27,231,0.00,-0.11,0.90,2.00,-357.00,659.00,270.32
14,2012/6/10,14:07:06,680.00,19448.40,10.75,39.90,66343,64.36,0,1,0,0,0,0,-26,223,0.00,-0.10,0.87,-50.00,-468.00,643.00,263.90
16,2012/6/10,14:07:08,680.00,19448.40,10.75,39.90,66314,67.54,0,0,0,0,0,-1,-26,231,-0.00,-0.10,0.90,-154.00,-365.00,671.00,247.12
18,2012/6/10,14:07:10,682.00,19620.00,10.57,39.90,66295,70.47,0,0,0,0,0,0,-29,239,0.00,-0.11,0.93,-40.00,-325.00,667.00,262.98
20,2012/6/10,14:07:12,682.00,19620.00,10.57,39.90,66271,73.40,0,0,0,0,0,0,-28,236,0.00,-0.11,0.92,5.00,-442.00,646.00,270.65
22,2012/6/10,14:07:14,681.00,19533.95,10.66,39.90,66236,78.12,0,0,0,0,0,0,-28,235,0.00,-0.11,0.92,-97.00,-456.00,647.00,257.99
24,2012/6/10,14:07:16,684.00,19793.63,10.39,39.90,66213,81.56,0,1,0,0,0,0,-27,236,0.00,-0.11,0.92,-156.00,-383.00,667.00,247.84
26,2012/6/10,14:07:18,686.00,19969.32,10.21,39.80,66178,86.28,0,0,0,0,0,0,-28,238,0.00,-0.11,0.93,-139.00,-342.00,670.00,247.88
28,2012/6/10,14:07:20,683.00,19706.56,10.48,39.80,66135,90.49,0,0,0,0,0,0,-28,234,0.00,-0.11,0.91,-134.00,-322.00,678.00,247.41
30,2012/6/10,14:07:22,681.00,19533.95,10.66,39.80,66100,95.21,0,0,0,0,0,0,-28,234,0.00,-0.11,0.91,-133.00,-343.00,669.00,248.81
32,2012/6/10,14:07:24,679.00,19363.34,10.84,39.80,66063,99.05,0,0,0,0,0,-1,-27,228,-0.00,-0.11,0.89,-157.00,-374.00,670.00,247.23
34,2012/6/10,14:07:26,682.00,19620.00,10.57,39.80,66036,102.75,0,0,0,0,0,-1,-27,229,-0.00,-0.11,0.89,-123.00,-429.00,652.00,254.00
36,2012/6/10,14:07:28,687.00,20057.95,10.12,39.80,66010,106.97,0,1,0,0,0,-1,-28,235,-0.00,-0.11,0.92,-61.00,-469.00,645.00,262.59
38,2012/6/10,14:07:30,687.00,20057.95,10.12,39.70,65985,109.53,0,0,0,0,0,-1,-28,235,-0.00,-0.11,0.92,1.00,-424.00,645.00,270.14
40,2012/6/10,14:07:32,685.00,19881.22,10.30,39.70,65963,112.47,0,0,0,0,0,-1,-27,235,-0.00,-0.11,0.92,-3.00,-364.00,657.00,269.53
42,2012/6/10,14:07:34,682.00,19620.00,10.57,39.70,65927,117.08,0,0,0,0,0,0,-27,232,0.00,-0.11,0.90,-53.00,-318.00,669.00,260.54
44,2012/6/10,14:07:36,682.00,19620.00,10.57,39.70,65907,119.12,0,0,0,0,0,0,-27,232,0.00,-0.11,0.90,-78.00,-310.00,673.00,255.88
46,2012/6/10,14:07:38,681.00,19533.95,10.66,39.70,65876,122.71,0,1,0,0,0,0,-29,236,0.00,-0.11,0.92,-88.00,-311.00,675.00,254.20
48,2012/6/10,14:07:40,680.00,19448.40,10.75,39.70,65853,127.45,0,0,0,0,0,-2,-28,236,-0.01,-0.11,0.92,-54.00,-314.00,673.00,260.24
