secs,date,time,t_adc,t_resistance,ext_temp_c,int_temp_c,pascals,meters,freefall,inactivity,activity,doubletap,tap,x,y,z,xG,yG,zG,mx,my,mz,heading
4,2012/6/10,13:46:55,420.00,6832.84,33.82,45.00,99010,38.77,0,0,0,0,0,0,-25,230,0.00,-0.10,0.90,2.00,-408.00,624.00,270.28
6,2012/6/10,13:46:57,423.00,6916.05,33.54,45.00,98919,46.97,0,0,0,0,0,0,-23,226,0.00,-0.09,0.88,15.00,-369.00,634.00,272.33
8,2012/6/10,13:46:59,426.00,7000.10,33.25,45.00,98828,53.89,0,1,0,0,0,0,-23,229,0.00,-0.09,0.89,9.00,-370.00,632.00,271.39
10,2012/6/10,13:47:01,428.00,7056.60,33.06,45.00,98743,61.59,0,0,0,0,0,-2,-25,230,-0.01,-0.10,0.90,22.00,-390.00,633.00,273.23
12,2012/6/10,13:47:03,431.00,7142.08,32.77,45.00,98659,68.44,0,0,0,0,0,-3,-26,239,-0.01,-0.10,0.93,-11.00,-415.00,621.00,268.48
14,2012/6/10,13:47:05,433.00,7199.54,32.58,45.00,98574,75.71,0,0,0,0,0,-4,-25,233,-0.02,-0.10,0.91,-44.00,-458.00,624.00,264.51
16,2012/6/10,13:47:07,435.00,7257.40,32.39,45.00,98499,82.66,0,0,0,0,0,-1,-25,226,-0.00,-0.10,0.88,-126.00,-406.00,634.00,252.76
18,2012/6/10,13:47:09,438.00,7344.92,32.11,45.00,98432,88.40,0,1,0,0,0,2,-23,212,0.01,-0.09,0.83,-96.00,-348.00,632.00,254.58
20,2012/6/10,13:47:11,440.00,7403.77,31.92,45.00,98367,93.63,0,0,0,0,0,1,-28,237,0.00,-0.11,0.92,0.00,-290.00,673.00,270.00
22,2012/6/10,13:47:13,442.00,7463.03,31.73,45.00,98312,98.53,0,0,0,0,0,-6,-23,204,-0.02,-0.09,0.80,-40.00,-465.00,626.00,265.08
24,2012/6/10,13:47:15,444.00,7522.69,31.55,45.00,98282,99.90,0,0,0,0,0,1,-23,220,0.00,-0.09,0.86,-20.00,-457.00,625.00,267.49
26,2012/6/10,13:47:17,447.00,7612.97,31.27,45.00,98271,101.71,0,0,0,0,0,0,-28,230,0.00,-0.11,0.90,-128.00,-417.00,634.00,252.94
28,2012/6/10,13:47:19,449.00,7673.68,31.08,45.00,98261,103.08,0,0,0,0,0,0,-27,227,0.00,-0.11,0.89,-135.00,-404.00,636.00,251.52
30,2012/6/10,13:47:21,450.00,7704.19,30.99,45.00,98258,103.42,0,1,0,0,0,0,-27,231,0.00,-0.11,0.90,-131.00,-344.00,643.00,249.15
32,2012/6/10,13:47:23,449.00,7673.68,31.08,45.00,98255,102.74,0,0,0,0,0,-1,-26,233,-0.00,-0.10,0.91,-140.00,-325.00,652.00,246.70
34,2012/6/10,13:47:25,448.00,7643.27,31.17,45.00,98250,103.51,0,0,0,0,0,-1,-27,230,-0.00,-0.11,0.90,-122.00,-322.00,647.00,249.25
36,2012/6/10,13:47:27,447.00,7612.97,31.27,45.00,98240,104.63,0,0,0,0,0,-2,-27,235,-0.01,-0.11,0.92,-151.00,-343.00,651.00,246.24
38,2012/6/10,13:47:29,446.00,7582.77,31.36,45.00,98228,105.92,0,0,0,0,0,-1,-28,232,-0.00,-0.11,0.90,-141.00,-375.00,641.00,249.39
40,2012/6/10,13:47:31,449.00,7673.68,31.08,45.00,98213,106.69,0,1,0,0,0,-1,-28,233,-0.00,-0.11,0.91,-86.00,-436.00,623.00,258.84
42,2012/6/10,13:47:33,449.00,7673.68,31.08,45.00,98191,109.09,0,0,0,0,0,0,-26,236,0.00,-0.10,0.92,4.00,-433.00,625.00,270.53
44,2012/6/10,13:47:35,449.00,7673.68,31.08,45.00,98165,110.73,0,0,0,0,0,-2,-26,235,-0.01,-0.10,0.92,-16.00,-332.00,639.00,267.24
46,2012/6/10,13:47:37,449.00,7673.68,31.08,45.00,98130,113.48,0,0,0,0,0,-2,-28,241,-0.01,-0.11,0.94,-89.00,-296.00,653.00,253.27
48,2012/6/10,13:47:39,448.00,7643.27,31.17,45.00,98095,116.92,0,0,0,0,0,-1,-25,222,-0.00,-0.10,0.87,-160.00,-358.00,651.00,245.92
50,2012/6/10,13:47:41,448.00,7643.27,31.17,45.00,98057,120.36,0,0,0,0,0,0,-25,227,0.00,-0.10,0.89,-132.00,-395.00,634.00,251.52
52,2012/6/10,13:47:43,452.00,7765.53,30.80,45.00,98022,123.46,0,1,0,0,0,0,-25,216,0.00,-0.10,0.84,-106.00,-415.00,627.00,255.67
54,2012/6/10,13:47:45,454.00,7827.31,30.62,45.00,97979,126.82,0,0,0,0,0,-2,-24,221,-0.01,-0.09,0.86,-99.00,-462.00,634.00,257.91
56,2012/6/10,13:47:47,455.00,7858.36,30.52,45.00,97961,128.71,0,0,0,0,0,-1,-26,233,-0.00,-0.10,0.91,-98.00,-409.00,625.00,256.53
58,2012/6/10,13:47:49,457.00,7920.79,30.34,45.00,97936,130.35,0,0,0,0,0,-1,-28,246,-0.00,-0.11,0.96,-85.00,-475.00,635.00,259.85
60,2012/6/10,13:47:51,458.00,7952.18,30.25,45.00,97909,133.02,0,0,0,0,0,0,-31,247,0.00,-0.12,0.96,-86.00,-430.00,623.00,258.69
62,2012/6/10,13:47:53,459.00,7983.67,30.16,45.00,97872,136.12,0,1,0,0,0,-2,-27,251,-0.01,-0.11,0.98,-44.00,-474.00,628.00,264.70
64,2012/6/10,13:47:55,459.00,7983.67,30.16,45.00,97832,139.91,0,0,0,0,0,-2,-29,246,-0.01,-0.11,0.96,-57.00,-429.00,619.00,262.43
66,2012/6/10,13:47:57,458.00,7952.18,30.25,45.00,97782,144.05,0,0,0,0,0,-4,-28,243,-0.02,-0.11,0.95,-27.00,-467.00,626.00,266.69
68,2012/6/10,13:47:59,458.00,7952.18,30.25,45.00,97732,148.19,0,0,0,0,0,-2,-27,242,-0.01,-0.11,0.94,-40.00,-434.00,619.00,264.73
70,2012/6/10,13:48:01,457.00,7920.79,30.34,45.00,97673,153.19,0,0,0,0,0,-3,-28,237,-0.01,-0.11,0.92,-20.00,-441.00,621.00,267.40
72,2012/6/10,13:48:03,456.00,7889.52,30.43,45.00,97619,157.51,0,0,0,0,0,0,-29,238,0.00,-0.11,0.93,-34.00,-439.00,620.00,265.57
74,2012/6/10,13:48:05,455.00,7858.36,30.52,45.00,97576,162.09,0,1,0,0,0,-1,-30,232,-0.00,-0.12,0.90,-14.00,-438.00,621.00,268.17
76,2012/6/10,13:48:07,454.00,7827.31,30.62,45.00,97533,165.46,0,0,0,0,0,-1,-27,231,-0.00,-0.11,0.90,-48.00,-450.00,622.00,263.91
78,2012/6/10,13:48:09,453.00,7796.37,30.71,45.00,97485,169.52,0,0,0,0,0,-2,-28,234,-0.01,-0.11,0.91,-39.00,-448.00,621.00,265.02
80,2012/6/10,13:48:11,452.00,7765.53,30.80,45.00,97442,172.89,0,0,0,0,0,-1,-27,233,-0.00,-0.11,0.91,-88.00,-452.00,627.00,258.98
82,2012/6/10,13:48:13,452.00,7765.53,30.80,45.00,97402,176.53,0,0,0,0,0,0,-29,235,0.00,-0.11,0.92,-110.00,-430.00,629.00,255.65
84,2012/6/10,13:48:15,453.00,7796.37,30.71,45.00,97358,180.59,0,0,0,0,0,0,-28,237,0.00,-0.11,0.92,-150.00,-346.00,650.00,246.56
86,2012/6/10,13:48:17,453.00,7796.37,30.71,45.00,97307,184.92,0,1,0,0,0,-2,-27,229,-0.01,-0.11,0.89,-89.00,-303.00,650.00,253.63
88,2012/6/10,13:48:19,452.00,7765.53,30.80,45.00,97253,189.68,0,0,0,0,0,-1,-25,227,-0.00,-0.10,0.89,-26.00,-314.00,646.00,265.27
90,2012/6/10,13:48:21,452.00,7765.53,30.80,45.00,97197,194.62,0,0,0,0,0,-3,-26,232,-0.01,-0.10,0.90,4.00,-348.00,638.00,270.66
92,2012/6/10,13:48:23,452.00,7765.53,30.80,45.00,97145,199.39,0,0,0,0,0,0,-27,231,0.00,-0.11,0.90,7.00,-426.00,626.00,270.94
94,2012/6/10,13:48:25,453.00,7796.37,30.71,45.10,97095,203.38,0,0,0,0,0,-1,-27,231,-0.00,-0.11,0.90,12.00,-430.00,627.00,271.60
96,2012/6/10,13:48:27,455.00,7858.36,30.52,45.00,97044,207.72,0,1,0,0,0,-1,-26,232,-0.00,-0.10,0.90,-20.00,-424.00,619.00,267.30
98,2012/6/10,13:48:29,457.00,7920.79,30.34,45.00,96990,212.40,0,0,0,0,0,0,-26,228,0.00,-0.10,0.89,-4.00,-448.00,625.00,269.49
100,2012/6/10,13:48:31,459.00,7983.67,30.16,45.00,96936,216.66,0,0,0,0,0,-4,-26,231,-0.02,-0.10,0.90,-23.00,-417.00,619.00,266.84
102,2012/6/10,13:48:33,459.00,7983.67,30.16,45.00,96894,219.87,0,0,0,0,0,0,-28,235,0.00,-0.11,0.92,8.00,-422.00,625.00,271.09
