secs,date,time,t_adc,t_resistance,ext_temp_c,int_temp_c,pascals,meters,freefall,inactivity,activity,doubletap,tap,x,y,z,xG,yG,zG,mx,my,mz,heading
4,2012/6/10,13:40:53,437.00,7315.65,32.20,45.20,100250,24.01,0,1,0,0,0,-34,-36,213,-0.13,-0.14,0.83,-47.00,-492.00,573.00,264.54
6,2012/6/10,13:40:55,439.00,7374.30,32.02,45.20,100257,23.67,0,0,0,0,0,-69,-57,212,-0.27,-0.22,0.83,-18.00,-478.00,568.00,267.84
8,2012/6/10,13:40:57,439.00,7374.30,32.02,45.20,100251,24.17,0,0,0,0,0,-98,-65,261,-0.38,-0.25,1.02,-24.00,-484.00,571.00,267.16
10,2012/6/10,13:40:59,439.00,7374.30,32.02,45.20,100254,23.92,0,0,0,0,0,-71,-69,204,-0.28,-0.27,0.80,-7.00,-470.00,565.00,269.15
12,2012/6/10,13:41:01,440.00,7403.77,31.92,45.20,100256,24.26,0,0,0,0,0,-87,-51,201,-0.34,-0.20,0.78,-3.00,-488.00,568.00,269.65
14,2012/6/10,13:41:03,440.00,7403.77,31.92,45.20,100251,24.09,0,1,0,0,0,-94,-54,205,-0.37,-0.21,0.80,0.00,-477.00,567.00,270.00
16,2012/6/10,13:41:05,439.00,7374.30,32.02,45.20,100252,24.17,0,0,0,0,0,-104,-55,206,-0.41,-0.21,0.80,6.00,-478.00,567.00,270.72
18,2012/6/10,13:41:07,438.00,7344.92,32.11,45.20,100250,24.43,0,0,0,0,0,-103,-57,197,-0.40,-0.22,0.77,11.00,-474.00,567.00,271.33
20,2012/6/10,13:41:09,437.00,7315.65,32.20,45.20,100248,24.26,0,0,0,0,0,-102,-51,203,-0.40,-0.20,0.79,15.00,-479.00,568.00,271.79
22,2012/6/10,13:41:11,436.00,7286.47,32.30,45.20,100253,24.01,0,0,0,0,0,-107,-46,202,-0.42,-0.18,0.79,12.00,-483.00,569.00,271.42
24,2012/6/10,13:41:13,435.00,7257.40,32.39,45.20,100251,24.26,0,0,0,0,0,-49,-49,222,-0.19,-0.19,0.87,-33.00,-485.00,570.00,266.11
26,2012/6/10,13:41:15,436.00,7286.47,32.30,45.20,100255,24.01,0,1,0,0,0,-2,0,216,-0.01,0.00,0.84,-92.00,-501.00,594.00,259.59
28,2012/6/10,13:41:17,437.00,7315.65,32.20,45.20,100249,24.26,0,0,0,0,0,1,-132,191,0.00,-0.51,0.74,-76.00,-404.00,592.00,259.35
30,2012/6/10,13:41:19,439.00,7374.30,32.02,45.20,100253,23.84,0,0,0,0,0,34,-147,190,0.13,-0.57,0.74,-110.00,-379.00,623.00,253.82
32,2012/6/10,13:41:21,439.00,7374.30,32.02,45.20,100258,24.26,0,0,0,0,0,23,-22,176,0.09,-0.09,0.69,-100.00,-430.00,599.00,256.91
34,2012/6/10,13:41:23,441.00,7433.35,31.83,45.20,100252,24.51,0,0,0,0,0,27,-38,221,0.11,-0.15,0.86,-92.00,-401.00,602.00,257.08
36,2012/6/10,13:41:25,442.00,7463.03,31.73,45.20,100252,24.68,0,1,0,0,0,6,-35,235,0.02,-0.14,0.92,-87.00,-408.00,597.00,257.96
38,2012/6/10,13:41:27,443.00,7492.81,31.64,45.20,100254,24.26,0,0,1,0,0,-6,23,171,-0.02,0.09,0.67,-47.00,-440.00,593.00,263.90
40,2012/6/10,13:41:29,444.00,7522.69,31.55,45.20,100252,24.26,0,0,0,0,1,-29,-22,246,-0.11,-0.09,0.96,-124.00,-355.00,624.00,250.75
42,2012/6/10,13:41:31,445.00,7552.68,31.45,45.20,100252,24.43,0,0,0,0,0,-7,-22,233,-0.03,-0.09,0.91,-99.00,-370.00,608.00,255.02
44,2012/6/10,13:41:33,446.00,7582.77,31.36,45.20,100245,24.17,0,0,0,0,0,-6,-32,244,-0.02,-0.12,0.95,-84.00,-333.00,619.00,255.84
46,2012/6/10,13:41:35,447.00,7612.97,31.27,45.20,100253,24.26,0,0,0,0,0,-7,-24,238,-0.03,-0.09,0.93,-99.00,-448.00,600.00,257.54
