secs,date,time,t_adc,t_resistance,ext_temp_c,int_temp_c,pascals,meters,freefall,inactivity,activity,doubletap,tap,x,y,z,xG,yG,zG,mx,my,mz,heading
4,2012/6/10,13:52:54,521.00,10181.30,24.60,44.80,88079,34.78,0,0,0,0,0,-1,-28,236,-0.00,-0.11,0.92,-21.00,-438.00,622.00,267.26
6,2012/6/10,13:52:56,522.00,10221.20,24.51,44.80,88021,40.54,0,1,0,0,0,-1,-28,232,-0.00,-0.11,0.90,-121.00,-425.00,633.00,254.11
8,2012/6/10,13:52:58,524.00,10301.48,24.33,44.80,87955,47.26,0,0,0,0,0,-1,-28,236,-0.00,-0.11,0.92,-120.00,-317.00,652.00,249.27
10,2012/6/10,13:53:00,525.00,10341.87,24.25,44.80,87887,53.12,0,0,0,0,0,0,-27,236,0.00,-0.11,0.92,-30.00,-316.00,646.00,264.58
12,2012/6/10,13:53:02,527.00,10423.13,24.07,44.70,87817,60.24,0,0,0,0,0,-1,-28,235,-0.00,-0.11,0.92,9.00,-395.00,629.00,271.31
14,2012/6/10,13:53:04,529.00,10505.04,23.90,44.70,87748,67.07,0,0,0,0,0,1,-28,236,0.00,-0.11,0.92,-31.00,-447.00,622.00,266.03
16,2012/6/10,13:53:06,531.00,10587.62,23.72,44.70,87672,73.14,0,1,0,0,0,0,-26,233,0.00,-0.10,0.91,-80.00,-458.00,629.00,260.09
18,2012/6/10,13:53:08,533.00,10670.88,23.55,44.70,87597,81.42,0,0,0,0,0,-1,-26,234,-0.00,-0.10,0.91,-124.00,-419.00,634.00,253.51
20,2012/6/10,13:53:10,537.00,10839.44,23.20,44.70,87525,87.21,0,0,0,0,0,-1,-25,233,-0.00,-0.10,0.91,-146.00,-395.00,643.00,249.71
22,2012/6/10,13:53:12,540.00,10967.70,22.94,44.70,87450,95.51,0,0,0,0,0,0,-27,230,0.00,-0.11,0.90,-138.00,-361.00,643.00,249.08
24,2012/6/10,13:53:14,541.00,11010.81,22.85,44.70,87391,101.40,0,0,0,0,0,0,-26,231,0.00,-0.10,0.90,-134.00,-326.00,652.00,247.66
26,2012/6/10,13:53:16,541.00,11010.81,22.85,44.70,87332,107.10,0,0,0,0,0,0,-27,232,0.00,-0.11,0.90,-97.00,-310.00,649.00,252.62
28,2012/6/10,13:53:18,541.00,11010.81,22.85,44.70,87269,112.71,0,1,0,0,0,0,-27,237,0.00,-0.11,0.92,-58.00,-294.00,656.00,258.84
30,2012/6/10,13:53:20,540.00,10967.70,22.94,44.70,87206,118.80,0,0,0,0,0,0,-26,235,0.00,-0.10,0.92,-15.00,-340.00,637.00,267.47
32,2012/6/10,13:53:22,540.00,10967.70,22.94,44.70,87146,125.09,0,0,0,0,0,-1,-29,236,-0.00,-0.11,0.92,13.00,-372.00,635.00,272.00
34,2012/6/10,13:53:24,539.00,10924.77,23.02,44.70,87078,131.09,0,0,0,0,0,0,-27,233,0.00,-0.11,0.91,7.00,-418.00,627.00,270.96
36,2012/6/10,13:53:26,537.00,10839.44,23.20,44.70,87013,137.20,0,0,0,0,0,-1,-28,235,-0.00,-0.11,0.92,15.00,-399.00,630.00,272.15
38,2012/6/10,13:53:28,534.00,10712.76,23.46,44.70,86955,143.70,0,1,0,0,0,-1,-28,232,-0.00,-0.11,0.90,12.00,-365.00,636.00,271.88
40,2012/6/10,13:53:30,531.00,10587.62,23.72,44.70,86892,149.13,0,0,0,0,0,-1,-27,237,-0.00,-0.11,0.92,-70.00,-304.00,650.00,257.03
42,2012/6/10,13:53:32,529.00,10505.04,23.90,44.70,86826,155.73,0,0,0,0,0,0,-26,237,0.00,-0.10,0.92,-142.00,-342.00,651.00,247.45
44,2012/6/10,13:53:34,530.00,10546.25,23.81,44.70,86761,162.04,0,0,0,0,0,0,-29,233,0.00,-0.11,0.91,-112.00,-432.00,632.00,255.47
46,2012/6/10,13:53:36,535.00,10754.82,23.37,44.70,86695,169.04,0,0,0,0,0,0,-29,238,0.00,-0.11,0.93,-41.00,-449.00,623.00,264.78
48,2012/6/10,13:53:38,537.00,10839.44,23.20,44.60,86618,176.04,0,0,0,0,0,1,-29,233,0.00,-0.11,0.91,11.00,-395.00,629.00,271.60
50,2012/6/10,13:53:40,539.00,10924.77,23.02,44.70,86541,183.34,0,1,0,0,0,-2,-27,232,-0.01,-0.11,0.90,-26.00,-329.00,641.00,265.48
52,2012/6/10,13:53:42,540.00,10967.70,22.94,44.60,86465,190.64,0,0,0,0,0,-3,-26,231,-0.01,-0.10,0.90,-114.00,-308.00,654.00,249.69
