secs,date,time,t_adc,t_resistance,ext_temp_c,int_temp_c,pascals,meters,freefall,inactivity,activity,doubletap,tap,x,y,z,xG,yG,zG,mx,my,mz,heading
3,2012/6/10,13:23:56,411.00,6588.09,34.70,40.90,100255,24.76,0,1,1,1,1,9,37,238,0.04,0.14,0.93,268.00,-620.00,62.00,293.38
5,2012/6/10,13:23:58,411.00,6588.09,34.70,40.90,100253,24.68,0,0,0,0,0,4,31,227,0.02,0.12,0.89,260.00,-593.00,63.00,293.67
7,2012/6/10,13:24:00,410.00,6561.34,34.79,41.00,100258,24.59,0,0,0,0,0,5,30,238,0.02,0.12,0.93,260.00,-598.00,66.00,293.50
9,2012/6/10,13:24:02,410.00,6561.34,34.79,41.00,100252,24.76,0,0,1,0,1,9,30,237,0.04,0.12,0.92,279.00,-610.00,102.00,294.58
11,2012/6/10,13:24:04,410.00,6561.34,34.79,41.10,100248,24.76,0,0,1,0,1,7,31,236,0.03,0.12,0.92,285.00,-597.00,109.00,295.52
13,2012/6/10,13:24:06,409.00,6534.67,34.89,41.20,100259,23.24,0,1,0,0,0,2,-5,209,0.01,-0.02,0.82,283.00,-638.00,140.00,293.92
15,2012/6/10,13:24:08,409.00,6534.67,34.89,41.20,100250,24.51,0,0,0,0,0,-36,10,189,-0.14,0.04,0.74,283.00,-687.00,129.00,292.39
17,2012/6/10,13:24:10,409.00,6534.67,34.89,41.20,100273,23.24,0,0,0,0,1,14,36,233,0.05,0.14,0.91,310.00,-867.00,53.00,289.67
19,2012/6/10,13:24:12,411.00,6588.09,34.70,41.20,100265,23.67,0,0,0,0,0,14,36,235,0.05,0.14,0.92,310.00,-867.00,53.00,289.67
21,2012/6/10,13:24:14,412.00,6614.93,34.60,41.30,100275,22.66,0,0,0,0,0,12,36,235,0.05,0.14,0.92,308.00,-867.00,54.00,289.56
23,2012/6/10,13:24:16,414.00,6668.87,34.41,41.30,100269,23.16,0,0,0,0,0,15,35,236,0.06,0.14,0.92,310.00,-867.00,54.00,289.67
25,2012/6/10,13:24:18,416.00,6723.16,34.21,41.30,100272,23.58,0,1,0,0,0,13,37,235,0.05,0.14,0.92,309.00,-866.00,54.00,289.64
27,2012/6/10,13:24:20,418.00,6777.82,34.02,41.30,100262,23.33,0,0,0,0,0,13,36,235,0.05,0.14,0.92,309.00,-866.00,54.00,289.64
29,2012/6/10,13:24:22,418.00,6777.82,34.02,41.40,100269,22.82,0,0,0,0,0,14,36,235,0.05,0.14,0.92,309.00,-867.00,53.00,289.62
31,2012/6/10,13:24:24,418.00,6777.82,34.02,41.40,100264,23.58,0,0,0,0,0,14,35,237,0.05,0.14,0.92,309.00,-867.00,53.00,289.62
