secs,date,time,t_adc,t_resistance,ext_temp_c,int_temp_c,pascals,meters,freefall,inactivity,activity,doubletap,tap,x,y,z,xG,yG,zG,mx,my,mz,heading
9,2012/6/10,15:24:55,996.00,361880.03,-38.55,6.70,12671,57.79,0,1,0,0,0,1,-30,246,0.00,-0.12,0.96,-169.00,-481.00,792.00,250.64
11,2012/6/10,15:24:57,997.00,376175.90,-39.09,6.70,12662,70.45,0,0,0,0,0,1,-28,242,0.00,-0.11,0.94,-166.00,-504.00,791.00,251.77
13,2012/6/10,15:24:59,998.00,391616.06,-39.64,6.70,12637,85.80,0,0,0,0,0,1,-28,237,0.00,-0.11,0.92,-165.00,-491.00,790.00,251.43
15,2012/6/10,15:25:01,1000.00,426521.71,-40.82,6.70,12633,86.47,0,0,0,0,0,1,-29,238,0.00,-0.11,0.93,-177.00,-493.00,795.00,250.25
17,2012/6/10,15:25:03,1000.00,426521.71,-40.82,6.70,12626,97.16,0,0,0,0,0,0,-30,245,0.00,-0.12,0.96,-182.00,-466.00,799.00,248.67
19,2012/6/10,15:25:05,1000.00,426521.71,-40.82,6.70,12609,105.19,0,1,0,0,0,1,-30,247,0.00,-0.12,0.96,-180.00,-451.00,800.00,248.24
21,2012/6/10,15:25:07,999.00,408341.50,-40.22,6.70,12594,118.58,0,0,0,0,0,0,-28,237,0.00,-0.11,0.92,-162.00,-435.00,797.00,249.57
23,2012/6/10,15:25:09,999.00,408341.50,-40.22,6.60,12577,125.95,0,0,0,0,0,1,-27,235,0.00,-0.11,0.92,-191.00,-463.00,805.00,247.58
25,2012/6/10,15:25:11,999.00,408341.50,-40.22,6.60,12560,135.35,0,0,0,0,0,1,-29,240,0.00,-0.11,0.94,-151.00,-511.00,785.00,253.54
27,2012/6/10,15:25:13,999.00,408341.50,-40.22,6.60,12552,145.42,0,0,0,0,0,0,-30,249,0.00,-0.12,0.97,-68.00,-561.00,776.00,263.09
29,2012/6/10,15:25:15,999.00,408341.50,-40.22,6.60,12546,154.15,0,1,0,0,0,0,-29,241,0.00,-0.11,0.94,-19.00,-532.00,775.00,267.95
31,2012/6/10,15:25:17,999.00,408341.50,-40.22,6.60,12522,160.21,0,0,0,0,0,2,-29,236,0.01,-0.11,0.92,18.00,-463.00,792.00,272.23
33,2012/6/10,15:25:19,999.00,408341.50,-40.22,6.60,12516,172.32,0,0,0,0,0,1,-28,238,0.00,-0.11,0.93,-9.00,-451.00,785.00,268.86
35,2012/6/10,15:25:21,999.00,408341.50,-40.22,6.60,12491,181.08,0,0,0,0,0,0,-29,243,0.00,-0.11,0.95,1.00,-434.00,795.00,270.13
37,2012/6/10,15:25:23,999.00,408341.50,-40.22,6.60,12483,197.27,0,0,0,0,0,0,-30,246,0.00,-0.12,0.96,-13.00,-479.00,778.00,268.45
39,2012/6/10,15:25:25,1000.00,426521.71,-40.82,6.60,12475,198.62,0,1,0,0,0,1,-29,238,0.00,-0.11,0.93,-8.00,-510.00,776.00,269.10
41,2012/6/10,15:25:27,999.00,408341.50,-40.22,6.50,12457,205.38,0,0,0,0,0,0,-28,235,0.00,-0.11,0.92,-82.00,-539.00,773.00,261.35
43,2012/6/10,15:25:29,999.00,408341.50,-40.22,6.50,12448,213.49,0,0,0,0,0,0,-29,243,0.00,-0.11,0.95,-125.00,-545.00,783.00,257.08
