secs,date,time,t_adc,t_resistance,ext_temp_c,int_temp_c,pascals,meters,freefall,inactivity,activity,doubletap,tap,x,y,z,xG,yG,zG,mx,my,mz,heading
4,2012/6/10,14:04:55,644.00,16669.24,13.93,40.80,68601,30.26,0,0,0,0,0,-1,-27,234,-0.00,-0.11,0.91,-95.00,-312.00,668.00,253.07
6,2012/6/10,14:04:57,641.00,16461.28,14.19,40.80,68572,34.21,0,1,0,0,0,-1,-28,234,-0.00,-0.11,0.91,-127.00,-322.00,671.00,248.48
8,2012/6/10,14:04:59,637.00,16189.04,14.54,40.80,68547,37.41,0,0,0,0,0,0,-28,235,0.00,-0.11,0.92,-141.00,-350.00,665.00,248.06
10,2012/6/10,14:05:01,637.00,16189.04,14.54,40.80,68520,40.75,0,0,0,0,0,-1,-28,234,-0.00,-0.11,0.91,-150.00,-373.00,663.00,248.09
12,2012/6/10,14:05:03,637.00,16189.04,14.54,40.80,68496,44.20,0,0,0,0,0,0,-27,232,0.00,-0.11,0.90,-147.00,-385.00,660.00,249.10
14,2012/6/10,14:05:05,639.00,16324.45,14.36,40.80,68468,47.04,0,0,0,0,0,-1,-28,233,-0.00,-0.11,0.91,-150.00,-383.00,661.00,248.61
16,2012/6/10,14:05:07,642.00,16530.24,14.10,40.70,68451,49.63,0,1,0,0,0,-1,-28,237,-0.00,-0.11,0.92,-146.00,-360.00,665.00,247.92
18,2012/6/10,14:05:09,644.00,16669.24,13.93,40.70,68425,53.21,0,0,0,0,0,0,-28,238,0.00,-0.11,0.93,-140.00,-334.00,670.00,247.26
20,2012/6/10,14:05:11,646.00,16809.71,13.75,40.70,68390,56.55,0,0,0,0,0,-1,-27,235,-0.00,-0.11,0.92,-106.00,-310.00,671.00,251.12
22,2012/6/10,14:05:13,646.00,16809.71,13.75,40.70,68366,59.51,0,0,0,0,0,0,-27,230,0.00,-0.11,0.90,-80.00,-306.00,672.00,255.35
24,2012/6/10,14:05:15,644.00,16669.24,13.93,40.70,68349,61.99,0,0,0,0,0,-1,-27,236,-0.00,-0.11,0.92,-57.00,-314.00,667.00,259.71
26,2012/6/10,14:05:17,640.00,16392.69,14.28,40.70,68319,65.94,0,0,0,0,0,0,-27,238,0.00,-0.11,0.93,-59.00,-314.00,667.00,259.36
28,2012/6/10,14:05:19,638.00,16256.57,14.45,40.70,68292,68.41,0,1,0,0,0,-2,-27,236,-0.01,-0.11,0.92,-57.00,-316.00,666.00,259.77
30,2012/6/10,14:05:21,639.00,16324.45,14.36,40.60,68256,72.00,0,0,0,0,0,-1,-26,230,-0.00,-0.10,0.90,-67.00,-316.00,667.00,258.03
32,2012/6/10,14:05:23,641.00,16461.28,14.19,40.60,68230,76.08,0,0,0,0,0,0,-26,228,0.00,-0.10,0.89,-56.00,-314.00,667.00,259.89
34,2012/6/10,14:05:25,643.00,16599.55,14.02,40.60,68206,79.18,0,0,0,0,0,-1,-28,236,-0.00,-0.11,0.92,-39.00,-321.00,666.00,263.07
