secs,date,time,t_adc,t_resistance,ext_temp_c,int_temp_c,pascals,meters,freefall,inactivity,activity,doubletap,tap,x,y,z,xG,yG,zG,mx,my,mz,heading
8,2012/6/10,15:12:56,1005.00,547724.00,-44.19,12.10,17459,43.95,0,1,0,0,0,0,-30,242,0.00,-0.12,0.94,-17.00,-521.00,752.00,268.13
10,2012/6/10,15:12:58,1005.00,547724.00,-44.19,12.10,17449,49.75,0,0,0,0,0,1,-29,239,0.00,-0.11,0.93,-41.00,-532.00,750.00,265.59
12,2012/6/10,15:13:00,1005.00,547724.00,-44.19,12.10,17431,58.96,0,0,0,0,0,1,-31,244,0.00,-0.12,0.95,-42.00,-524.00,749.00,265.42
14,2012/6/10,15:13:02,1005.00,547724.00,-44.19,12.00,17426,65.75,0,0,0,0,0,1,-30,245,0.00,-0.12,0.96,-35.00,-519.00,749.00,266.14
16,2012/6/10,15:13:04,1006.00,580520.37,-44.95,12.00,17408,67.20,0,0,0,0,0,0,-28,235,0.00,-0.11,0.92,-14.00,-474.00,753.00,268.31
18,2012/6/10,15:13:06,1006.00,580520.37,-44.95,12.00,17400,74.97,0,1,0,0,0,1,-29,240,0.00,-0.11,0.94,5.00,-458.00,762.00,270.63
20,2012/6/10,15:13:08,1006.00,580520.37,-44.95,12.00,17376,83.22,0,0,0,0,0,1,-30,243,0.00,-0.12,0.95,-9.00,-433.00,764.00,268.81
22,2012/6/10,15:13:10,1007.00,617415.62,-45.76,12.00,17372,85.17,0,0,0,0,0,0,-30,248,0.00,-0.12,0.97,6.00,-438.00,768.00,270.78
24,2012/6/10,15:13:12,1007.00,617415.62,-45.76,12.00,17360,91.97,0,0,0,0,0,0,-29,241,0.00,-0.11,0.94,3.00,-447.00,764.00,270.38
26,2012/6/10,15:13:14,1007.00,617415.62,-45.76,12.00,17343,105.59,0,0,0,0,0,1,-30,240,0.00,-0.12,0.94,-1.00,-474.00,757.00,269.88
28,2012/6/10,15:13:16,1006.00,580520.37,-44.95,12.00,17330,110.46,0,1,0,0,0,0,-30,245,0.00,-0.12,0.96,4.00,-491.00,757.00,270.47
30,2012/6/10,15:13:18,1006.00,580520.37,-44.95,11.90,17313,112.90,0,0,0,0,0,0,-30,243,0.00,-0.12,0.95,-3.00,-474.00,757.00,269.64
32,2012/6/10,15:13:20,1005.00,547724.00,-44.19,11.90,17300,124.11,0,0,0,0,0,1,-29,240,0.00,-0.11,0.94,-6.00,-427.00,768.00,269.19
34,2012/6/10,15:13:22,1005.00,547724.00,-44.19,11.90,17281,136.31,0,0,0,0,0,2,-30,240,0.01,-0.12,0.94,-42.00,-390.00,774.00,263.85
36,2012/6/10,15:13:24,1005.00,547724.00,-44.19,11.90,17260,142.66,0,0,0,0,0,1,-27,234,0.00,-0.11,0.91,-89.00,-369.00,784.00,256.44
38,2012/6/10,15:13:26,1005.00,547724.00,-44.19,11.90,17244,147.06,0,1,0,0,0,0,-28,237,0.00,-0.11,0.92,-111.00,-370.00,786.00,253.30
40,2012/6/10,15:13:28,1006.00,580520.37,-44.95,11.80,17226,156.35,0,0,0,0,0,1,-31,250,0.00,-0.12,0.97,-172.00,-408.00,785.00,247.14
42,2012/6/10,15:13:30,1006.00,580520.37,-44.95,11.80,17217,161.25,0,0,0,0,0,-1,-31,250,-0.00,-0.12,0.97,-150.00,-496.00,765.00,253.17
44,2012/6/10,15:13:32,1006.00,580520.37,-44.95,11.80,17199,172.51,0,0,0,0,0,1,-30,238,0.00,-0.12,0.93,-25.00,-512.00,751.00,267.20
46,2012/6/10,15:13:34,1007.00,617415.62,-45.76,11.80,17172,185.26,0,0,0,0,0,1,-27,233,0.00,-0.11,0.91,9.00,-460.00,764.00,271.12
48,2012/6/10,15:13:36,1007.00,617415.62,-45.76,11.80,17155,194.58,0,1,0,0,0,0,-29,241,0.00,-0.11,0.94,-26.00,-415.00,768.00,266.42
50,2012/6/10,15:13:38,1008.00,659234.50,-46.62,11.80,17148,200.97,0,0,0,0,0,3,-31,243,0.01,-0.12,0.95,0.00,-509.00,757.00,270.00
52,2012/6/10,15:13:40,1008.00,659234.50,-46.62,11.80,17120,208.83,0,0,0,0,0,0,-30,241,0.00,-0.12,0.94,-98.00,-527.00,754.00,259.47
54,2012/6/10,15:13:42,1008.00,659234.50,-46.62,11.70,17098,220.15,0,0,0,0,0,-1,-28,234,-0.00,-0.11,0.91,-152.00,-380.00,790.00,248.20
