secs,date,time,t_adc,t_resistance,ext_temp_c,int_temp_c,pascals,meters,freefall,inactivity,activity,doubletap,tap,x,y,z,xG,yG,zG,mx,my,mz,heading
3,2012/6/10,12:51:42,371.00,5582.07,38.72,38.20,100271,23.58,0,0,0,0,0,14,21,237,0.05,0.08,0.92,475.00,88.00,-86.00,10.50
5,2012/6/10,12:51:44,373.00,5629.43,38.52,38.10,100265,24.59,0,1,0,0,0,26,19,235,0.10,0.07,0.92,478.00,88.00,-88.00,10.43
7,2012/6/10,12:51:46,375.00,5677.08,38.31,38.20,100269,24.76,0,0,0,0,0,30,27,227,0.12,0.11,0.89,471.00,88.00,-85.00,10.58
9,2012/6/10,12:51:48,379.00,5773.28,37.90,38.20,100267,23.75,0,0,0,0,0,13,31,240,0.05,0.12,0.94,491.00,96.00,-83.00,11.06
11,2012/6/10,12:51:50,384.00,5895.21,37.39,38.20,100275,24.00,0,0,0,0,0,29,53,232,0.11,0.21,0.90,491.00,96.00,-86.00,11.06
13,2012/6/10,12:51:52,391.00,6069.16,36.68,38.20,100268,23.66,0,0,0,0,0,7,30,235,0.03,0.12,0.92,505.00,100.00,-92.00,11.20
15,2012/6/10,12:51:54,396.00,6195.79,36.18,38.30,100276,23.66,0,1,0,0,0,-5,19,235,-0.02,0.07,0.92,522.00,92.00,-99.00,10.00
17,2012/6/10,12:51:56,401.00,6324.45,35.68,38.30,100272,24.08,0,0,0,0,0,13,19,245,0.05,0.07,0.96,512.00,97.00,-94.00,10.73
19,2012/6/10,12:51:58,405.00,6428.88,35.29,38.30,100283,24.00,0,0,0,0,0,-11,26,239,-0.04,0.10,0.93,539.00,91.00,-106.00,9.58
21,2012/6/10,12:52:00,408.00,6508.10,34.99,38.30,100273,24.00,0,0,0,0,0,9,12,240,0.04,0.05,0.94,545.00,94.00,-108.00,9.79
23,2012/6/10,12:52:02,411.00,6588.09,34.70,38.30,100272,24.08,0,0,0,0,0,12,9,239,0.05,0.04,0.93,545.00,96.00,-108.00,9.99
25,2012/6/10,12:52:04,414.00,6668.87,34.41,38.30,100271,24.76,0,1,0,0,0,9,8,239,0.04,0.03,0.93,545.00,96.00,-108.00,9.99
27,2012/6/10,12:52:06,415.00,6695.97,34.31,38.40,100275,23.58,0,0,0,0,0,8,17,237,0.03,0.07,0.92,546.00,93.00,-109.00,9.67
29,2012/6/10,12:52:08,415.00,6695.97,34.31,38.40,100276,24.08,0,0,0,0,0,7,16,240,0.03,0.06,0.94,547.00,92.00,-109.00,9.55
31,2012/6/10,12:52:10,416.00,6723.16,34.21,38.40,100273,23.58,0,0,0,0,0,5,15,238,0.02,0.06,0.93,547.00,94.00,-109.00,9.75
33,2012/6/10,12:52:12,417.00,6750.45,34.11,38.40,100268,23.41,0,0,0,0,0,5,15,235,0.02,0.06,0.92,545.00,95.00,-109.00,9.89
35,2012/6/10,12:52:14,417.00,6750.45,34.11,38.40,100272,23.92,0,0,0,0,0,4,22,237,0.02,0.09,0.92,546.00,95.00,-109.00,9.87
37,2012/6/10,12:52:16,416.00,6723.16,34.21,38.40,100271,24.25,0,1,0,0,0,7,15,237,0.03,0.06,0.92,546.00,95.00,-109.00,9.87
39,2012/6/10,12:52:18,415.00,6695.97,34.31,38.50,100263,23.92,0,0,0,0,0,6,15,237,0.02,0.06,0.92,545.00,96.00,-108.00,9.99
41,2012/6/10,12:52:20,414.00,6668.87,34.41,38.50,100284,23.07,0,0,0,0,0,7,14,237,0.03,0.05,0.92,546.00,94.00,-113.00,9.77
43,2012/6/10,12:52:22,415.00,6695.97,34.31,38.50,100281,23.75,0,0,0,0,0,5,14,236,0.02,0.05,0.92,545.00,94.00,-112.00,9.79
45,2012/6/10,12:52:24,417.00,6750.45,34.11,38.50,100284,23.75,0,0,0,0,0,0,15,235,0.00,0.06,0.92,550.00,94.00,-114.00,9.70
47,2012/6/10,12:52:26,417.00,6750.45,34.11,38.50,100278,23.33,0,1,0,0,0,-18,-2,283,-0.07,-0.01,1.10,552.00,95.00,-116.00,9.77
49,2012/6/10,12:52:28,417.00,6750.45,34.11,38.50,100273,24.08,0,0,0,0,0,1,11,235,0.00,0.04,0.92,551.00,95.00,-115.00,9.78
51,2012/6/10,12:52:30,416.00,6723.16,34.21,38.60,100286,22.90,0,0,0,0,0,3,11,238,0.01,0.04,0.93,551.00,96.00,-111.00,9.88
53,2012/6/10,12:52:32,417.00,6750.45,34.11,38.60,100274,23.50,0,0,0,0,0,3,13,238,0.01,0.05,0.93,552.00,95.00,-110.00,9.77
55,2012/6/10,12:52:34,417.00,6750.45,34.11,38.60,100274,24.08,0,0,0,0,0,3,11,238,0.01,0.04,0.93,551.00,97.00,-111.00,9.98
57,2012/6/10,12:52:36,417.00,6750.45,34.11,38.60,100274,23.83,0,0,0,0,0,3,13,238,0.01,0.05,0.93,550.00,97.00,-110.00,10.00
59,2012/6/10,12:52:38,416.00,6723.16,34.21,38.60,100268,24.00,0,1,0,0,0,3,11,236,0.01,0.04,0.92,550.00,96.00,-110.00,9.90
61,2012/6/10,12:52:40,414.00,6668.87,34.41,38.60,100272,24.17,0,0,0,0,0,0,19,234,0.00,0.07,0.91,552.00,98.00,-111.00,10.07
63,2012/6/10,12:52:42,414.00,6668.87,34.41,38.60,100235,25.85,0,0,0,0,0,20,-8,217,0.08,-0.03,0.85,555.00,97.00,-110.00,9.91
65,2012/6/10,12:52:44,412.00,6614.93,34.60,38.70,100272,23.33,0,0,0,0,0,3,12,238,0.01,0.05,0.93,552.00,97.00,-111.00,9.97
67,2012/6/10,12:52:46,410.00,6561.34,34.79,38.70,100280,23.41,0,0,0,0,0,6,25,249,0.02,0.10,0.97,549.00,97.00,-111.00,10.02
69,2012/6/10,12:52:48,408.00,6508.10,34.99,38.70,100277,23.83,0,1,0,0,0,29,14,240,0.11,0.05,0.94,531.00,94.00,-103.00,10.04
71,2012/6/10,12:52:50,407.00,6481.61,35.09,38.70,100278,23.50,0,0,0,0,0,49,22,234,0.19,0.09,0.91,523.00,91.00,-101.00,9.87
73,2012/6/10,12:52:52,405.00,6428.88,35.29,38.70,100279,22.99,0,0,0,0,0,29,16,235,0.11,0.06,0.92,543.00,93.00,-110.00,9.72
75,2012/6/10,12:52:54,400.00,6298.56,35.78,38.70,100278,23.58,0,0,0,0,0,12,16,238,0.05,0.06,0.93,556.00,96.00,-115.00,9.80
77,2012/6/10,12:52:56,397.00,6221.36,36.08,38.80,100280,23.07,0,0,0,0,0,34,25,228,0.13,0.10,0.89,553.00,92.00,-117.00,9.45
79,2012/6/10,12:52:58,395.00,6170.30,36.28,38.80,100276,23.58,0,0,0,0,0,37,6,243,0.14,0.02,0.95,549.00,97.00,-114.00,10.02
81,2012/6/10,12:53:00,392.00,6094.33,36.58,38.80,100278,23.07,0,1,0,0,0,45,18,235,0.18,0.07,0.92,556.00,97.00,-119.00,9.90
83,2012/6/10,12:53:02,392.00,6094.33,36.58,38.80,100282,23.50,0,0,0,0,0,16,14,238,0.06,0.05,0.93,569.00,96.00,-125.00,9.58
85,2012/6/10,12:53:04,395.00,6170.30,36.28,38.80,100283,23.33,0,0,0,0,0,17,13,238,0.07,0.05,0.93,571.00,97.00,-126.00,9.64
87,2012/6/10,12:53:06,399.00,6272.74,35.88,38.90,100275,23.24,0,0,0,0,0,7,9,238,0.03,0.04,0.93,571.00,94.00,-130.00,9.35
89,2012/6/10,12:53:08,402.00,6350.43,35.58,38.90,100280,23.83,0,0,0,0,0,24,16,224,0.09,0.06,0.87,571.00,97.00,-129.00,9.64
91,2012/6/10,12:53:10,405.00,6428.88,35.29,38.90,100275,22.99,0,1,0,0,0,68,18,229,0.27,0.07,0.89,539.00,95.00,-114.00,10.00
93,2012/6/10,12:53:12,406.00,6455.20,35.19,38.90,100285,23.24,0,0,0,0,0,98,35,233,0.38,0.14,0.91,525.00,89.00,-104.00,9.62
95,2012/6/10,12:53:14,407.00,6481.61,35.09,38.90,100290,22.65,0,0,0,0,0,35,10,242,0.14,0.04,0.94,555.00,95.00,-124.00,9.71
97,2012/6/10,12:53:16,407.00,6481.61,35.09,38.90,100282,22.82,0,0,0,0,0,63,20,235,0.25,0.08,0.92,545.00,94.00,-114.00,9.79
99,2012/6/10,12:53:18,407.00,6481.61,35.09,38.90,100284,23.24,0,0,0,0,0,67,23,230,0.26,0.09,0.90,544.00,98.00,-114.00,10.21
101,2012/6/10,12:53:20,405.00,6428.88,35.29,38.90,100277,23.50,0,0,0,0,0,70,17,224,0.27,0.07,0.87,548.00,101.00,-115.00,10.44
103,2012/6/10,12:53:22,400.00,6298.56,35.78,39.00,100283,23.33,0,1,0,0,0,50,9,236,0.19,0.04,0.92,562.00,101.00,-122.00,10.19
105,2012/6/10,12:53:24,395.00,6170.30,36.28,39.00,100276,23.24,0,0,0,0,0,38,32,241,0.15,0.12,0.94,570.00,103.00,-125.00,10.24
107,2012/6/10,12:53:26,391.00,6069.16,36.68,39.00,100280,23.92,0,0,0,0,0,47,7,238,0.18,0.03,0.93,555.00,102.00,-117.00,10.41
109,2012/6/10,12:53:28,395.00,6170.30,36.28,39.00,100280,23.33,0,0,0,0,0,36,11,237,0.14,0.04,0.92,566.00,100.00,-121.00,10.02
111,2012/6/10,12:53:30,397.00,6221.36,36.08,39.00,100281,23.58,0,0,0,0,0,13,29,249,0.05,0.11,0.97,587.00,88.00,-127.00,8.53
113,2012/6/10,12:53:32,397.00,6221.36,36.08,39.00,100272,23.83,0,1,0,0,0,1,17,236,0.00,0.07,0.92,577.00,92.00,-119.00,9.06
115,2012/6/10,12:53:34,397.00,6221.36,36.08,39.00,100280,23.33,0,0,0,0,0,-3,14,239,-0.01,0.05,0.93,543.00,105.00,-98.00,10.94
