secs,date,time,t_adc,t_resistance,ext_temp_c,int_temp_c,pascals,meters,freefall,inactivity,activity,doubletap,tap,x,y,z,xG,yG,zG,mx,my,mz,heading
5,2012/6/10,14:26:58,784.00,32180.09,0.83,31.90,48755,33.58,0,1,0,0,0,0,-28,238,0.00,-0.11,0.93,-25.00,-473.00,672.00,266.97
7,2012/6/10,14:27:00,787.00,32713.85,0.52,31.90,48745,36.70,0,0,0,0,0,0,-28,236,0.00,-0.11,0.92,-75.00,-481.00,673.00,261.14
9,2012/6/10,14:27:02,789.00,33077.31,0.31,31.90,48727,38.95,0,0,0,0,0,0,-28,237,0.00,-0.11,0.92,-135.00,-447.00,684.00,253.19
11,2012/6/10,14:27:04,790.00,33261.38,0.20,31.90,48703,42.95,0,0,0,0,0,-1,-27,237,-0.00,-0.11,0.92,-159.00,-400.00,696.00,248.32
13,2012/6/10,14:27:06,787.00,32713.85,0.52,31.90,48684,46.41,0,0,0,0,0,-1,-28,237,-0.00,-0.11,0.92,-147.00,-352.00,704.00,247.33
15,2012/6/10,14:27:08,784.00,32180.09,0.83,31.90,48662,50.41,0,1,0,0,0,0,-27,236,0.00,-0.11,0.92,-131.00,-336.00,706.00,248.70
17,2012/6/10,14:27:10,782.00,31831.62,1.04,31.90,48648,53.54,0,0,0,0,0,-1,-28,238,-0.00,-0.11,0.93,-121.00,-335.00,704.00,250.14
19,2012/6/10,14:27:12,781.00,31659.55,1.14,31.90,48622,56.49,0,0,0,0,0,-1,-29,240,-0.00,-0.11,0.94,-133.00,-339.00,705.00,248.58
21,2012/6/10,14:27:14,781.00,31659.55,1.14,31.90,48603,60.83,0,0,0,0,0,0,-28,234,0.00,-0.11,0.91,-142.00,-359.00,700.00,248.42
23,2012/6/10,14:27:16,780.00,31488.89,1.24,31.80,48579,64.48,0,0,0,0,0,-1,-28,234,-0.00,-0.11,0.91,-155.00,-403.00,694.00,248.96
25,2012/6/10,14:27:18,779.00,31319.64,1.35,31.80,48564,67.79,0,1,0,0,0,-1,-28,237,-0.00,-0.11,0.92,-124.00,-460.00,682.00,254.91
27,2012/6/10,14:27:20,779.00,31319.64,1.35,31.80,48541,70.75,0,0,0,0,0,0,-28,236,0.00,-0.11,0.92,-59.00,-484.00,673.00,263.05
29,2012/6/10,14:27:22,779.00,31319.64,1.35,31.80,48510,74.92,0,0,0,0,0,-1,-28,235,-0.00,-0.11,0.92,-13.00,-467.00,673.00,268.41
